2025-06-26 18:28:17,005 - INFO - Scraping selectors for search_bar at http://localhost:3000/#/search
2025-06-26 18:28:18,900 - INFO - WebDriver initialized for selector scraping
2025-06-26 18:28:25,645 - INFO - Angular page stabilized
2025-06-26 18:28:25,802 - INFO - Found input element: {'tag': 'input', 'id': 'mat-input-1', 'class': 'mat-mdc-input-element mat-mdc-form-field-input-control mdc-text-field__input ng-untouched ng-pristine cdk-text-field-autofill-monitored', 'name': '', 'matinput': '', 'placeholder': '', 'type': 'text', 'formcontrolname': '', 'parent_tag': 'div', 'parent_class': 'mat-mdc-form-field-infix'}
2025-06-26 18:28:25,887 - INFO - Found submit element: {'tag': 'button', 'id': '', 'class': 'mdc-button mat-mdc-button mat-unthemed mat-mdc-button-base', 'name': '', 'matinput': '', 'placeholder': '', 'type': 'submit', 'formcontrolname': '', 'parent_tag': 'mat-nav-list', 'parent_class': 'mat-mdc-nav-list mat-mdc-list-base mdc-list'}
2025-06-26 18:28:25,947 - INFO - Found submit element: {'tag': 'mat-icon', 'id': '', 'class': 'mat-icon notranslate material-icons mat-ligature-font mat-icon-no-color', 'name': '', 'matinput': '', 'placeholder': '', 'type': '', 'formcontrolname': '', 'parent_tag': 'span', 'parent_class': 'mat-mdc-list-item-unscoped-content mdc-list-item__primary-text'}
2025-06-26 18:28:26,016 - INFO - Found submit element: {'tag': 'mat-icon', 'id': '', 'class': 'mat-icon notranslate material-icons mat-ligature-font mat-icon-no-color', 'name': '', 'matinput': '', 'placeholder': '', 'type': '', 'formcontrolname': '', 'parent_tag': 'span', 'parent_class': 'mat-mdc-list-item-unscoped-content mdc-list-item__primary-text'}
2025-06-26 18:28:26,079 - INFO - Found submit element: {'tag': 'mat-icon', 'id': '', 'class': 'mat-icon notranslate material-icons mat-ligature-font mat-icon-no-color', 'name': '', 'matinput': '', 'placeholder': '', 'type': '', 'formcontrolname': '', 'parent_tag': 'span', 'parent_class': 'mat-mdc-list-item-unscoped-content mdc-list-item__primary-text'}
2025-06-26 18:28:26,145 - INFO - Found submit element: {'tag': 'mat-icon', 'id': '', 'class': 'mat-icon notranslate material-icons mat-ligature-font mat-icon-no-color', 'name': '', 'matinput': '', 'placeholder': '', 'type': '', 'formcontrolname': '', 'parent_tag': 'span', 'parent_class': 'mat-mdc-list-item-unscoped-content mdc-list-item__primary-text'}
2025-06-26 18:28:26,201 - INFO - Found submit element: {'tag': 'mat-icon', 'id': '', 'class': 'mat-icon notranslate material-icons mat-ligature-font mat-icon-no-color', 'name': '', 'matinput': '', 'placeholder': '', 'type': '', 'formcontrolname': '', 'parent_tag': 'span', 'parent_class': 'mat-mdc-list-item-unscoped-content mdc-list-item__primary-text'}
2025-06-26 18:28:26,269 - INFO - Found submit element: {'tag': 'button', 'id': '', 'class': 'mat-mdc-tooltip-trigger mdc-icon-button mat-mdc-icon-button mat-unthemed mat-mdc-button-base', 'name': '', 'matinput': '', 'placeholder': '', 'type': 'submit', 'formcontrolname': '', 'parent_tag': 'mat-toolbar-row', 'parent_class': 'mat-toolbar-row'}
2025-06-26 18:28:26,325 - INFO - Found submit element: {'tag': 'mat-icon', 'id': '', 'class': 'mat-icon notranslate material-icons mat-ligature-font mat-icon-no-color', 'name': '', 'matinput': '', 'placeholder': '', 'type': '', 'formcontrolname': '', 'parent_tag': 'button', 'parent_class': 'mat-mdc-tooltip-trigger mdc-icon-button mat-mdc-icon-button mat-unthemed mat-mdc-button-base'}
2025-06-26 18:28:26,390 - INFO - Found submit element: {'tag': 'button', 'id': '', 'class': 'buttons mdc-button mat-mdc-button mat-unthemed mat-mdc-button-base', 'name': '', 'matinput': '', 'placeholder': '', 'type': 'submit', 'formcontrolname': '', 'parent_tag': 'mat-toolbar-row', 'parent_class': 'mat-toolbar-row'}
2025-06-26 18:28:26,450 - INFO - Found submit element: {'tag': 'mat-icon', 'id': '', 'class': 'mat-icon notranslate mat-ripple mat-search_icon-close ng-tns-c2529363319-0 material-icons mat-ligature-font mat-icon-no-color', 'name': '', 'matinput': '', 'placeholder': '', 'type': '', 'formcontrolname': '', 'parent_tag': 'span', 'parent_class': 'mat-search_icons ng-tns-c2529363319-0'}
2025-06-26 18:28:26,515 - INFO - Found submit element: {'tag': 'mat-icon', 'id': '', 'class': 'mat-icon notranslate mat-ripple mat-search_icon-search ng-tns-c2529363319-0 material-icons mat-ligature-font mat-icon-no-color', 'name': '', 'matinput': '', 'placeholder': '', 'type': '', 'formcontrolname': '', 'parent_tag': 'span', 'parent_class': 'mat-search_icons ng-tns-c2529363319-0'}
2025-06-26 18:28:26,576 - INFO - Found submit element: {'tag': 'button', 'id': 'navbarAccount', 'class': 'mat-mdc-menu-trigger buttons mdc-button mat-mdc-button mat-unthemed mat-mdc-button-base', 'name': '', 'matinput': '', 'placeholder': '', 'type': 'submit', 'formcontrolname': '', 'parent_tag': 'mat-toolbar-row', 'parent_class': 'mat-toolbar-row'}
2025-06-26 18:28:26,655 - INFO - Found submit element: {'tag': 'mat-icon', 'id': '', 'class': 'mat-icon notranslate material-icons mat-ligature-font mat-icon-no-color', 'name': '', 'matinput': '', 'placeholder': '', 'type': '', 'formcontrolname': '', 'parent_tag': 'button', 'parent_class': 'mat-mdc-menu-trigger buttons mdc-button mat-mdc-button mat-unthemed mat-mdc-button-base'}
2025-06-26 18:28:26,719 - INFO - Found submit element: {'tag': 'button', 'id': 'navbarLanguageButton', 'class': 'mat-mdc-tooltip-trigger mat-mdc-menu-trigger buttons mdc-button mat-mdc-button mat-unthemed mat-mdc-button-base', 'name': '', 'matinput': '', 'placeholder': '', 'type': 'submit', 'formcontrolname': '', 'parent_tag': 'mat-toolbar-row', 'parent_class': 'mat-toolbar-row'}
2025-06-26 18:28:26,776 - INFO - Found submit element: {'tag': 'mat-icon', 'id': '', 'class': 'mat-icon notranslate material-icons mat-ligature-font mat-icon-no-color', 'name': '', 'matinput': '', 'placeholder': '', 'type': '', 'formcontrolname': '', 'parent_tag': 'button', 'parent_class': 'mat-mdc-tooltip-trigger mat-mdc-menu-trigger buttons mdc-button mat-mdc-button mat-unthemed mat-mdc-button-base'}
2025-06-26 18:28:26,846 - INFO - Found submit element: {'tag': 'button', 'id': '', 'class': 'mat-mdc-tooltip-trigger mat-mdc-paginator-navigation-previous mdc-icon-button mat-mdc-icon-button mat-mdc-button-disabled mat-mdc-button-disabled-interactive mat-unthemed mat-mdc-button-base mat-mdc-tooltip-disabled', 'name': '', 'matinput': '', 'placeholder': '', 'type': 'button', 'formcontrolname': '', 'parent_tag': 'div', 'parent_class': 'mat-mdc-paginator-range-actions'}
2025-06-26 18:28:26,915 - INFO - Found submit element: {'tag': 'button', 'id': '', 'class': 'mat-mdc-tooltip-trigger mat-mdc-paginator-navigation-next mdc-icon-button mat-mdc-icon-button mat-mdc-button-disabled-interactive mat-unthemed mat-mdc-button-base', 'name': '', 'matinput': '', 'placeholder': '', 'type': 'button', 'formcontrolname': '', 'parent_tag': 'div', 'parent_class': 'mat-mdc-paginator-range-actions'}
2025-06-26 18:28:26,977 - INFO - Found submit element: {'tag': 'button', 'id': '', 'class': 'mat-mdc-tooltip-trigger mdc-button mdc-button--raised mat-mdc-raised-button mat-warn mat-mdc-button-base ng-star-inserted', 'name': '', 'matinput': '', 'placeholder': '', 'type': 'submit', 'formcontrolname': '', 'parent_tag': 'div', 'parent_class': 'button-footer'}
2025-06-26 18:28:27,048 - INFO - Found submit element: {'tag': 'mat-icon', 'id': '', 'class': 'mat-icon notranslate material-icons mat-ligature-font mat-icon-no-color', 'name': '', 'matinput': '', 'placeholder': '', 'type': '', 'formcontrolname': '', 'parent_tag': 'button', 'parent_class': 'mat-mdc-tooltip-trigger mdc-button mdc-button--raised mat-mdc-raised-button mat-warn mat-mdc-button-base ng-star-inserted'}
2025-06-26 18:28:27,111 - INFO - Found submit element: {'tag': 'button', 'id': '', 'class': 'close-dialog mdc-button mdc-button--raised mat-mdc-raised-button mat-primary mat-mdc-button-base ng-star-inserted', 'name': '', 'matinput': '', 'placeholder': '', 'type': 'submit', 'formcontrolname': '', 'parent_tag': 'div', 'parent_class': 'button-footer'}
2025-06-26 18:28:27,175 - INFO - Found submit element: {'tag': 'mat-icon', 'id': '', 'class': 'mat-icon notranslate material-icons mat-ligature-font mat-icon-no-color', 'name': '', 'matinput': '', 'placeholder': '', 'type': '', 'formcontrolname': '', 'parent_tag': 'button', 'parent_class': 'close-dialog mdc-button mdc-button--raised mat-mdc-raised-button mat-primary mat-mdc-button-base ng-star-inserted'}
2025-06-26 18:28:29,644 - INFO - Scraping selectors for profile_bio at http://localhost:3000/#/profile
2025-06-26 18:28:31,532 - INFO - WebDriver initialized for selector scraping
2025-06-26 18:28:38,191 - INFO - Angular page stabilized
2025-06-26 18:28:38,283 - INFO - Found input element: {'tag': 'input', 'id': 'mat-input-1', 'class': 'mat-mdc-input-element mat-mdc-form-field-input-control mdc-text-field__input ng-untouched ng-pristine cdk-text-field-autofill-monitored', 'name': '', 'matinput': '', 'placeholder': '', 'type': 'text', 'formcontrolname': '', 'parent_tag': 'div', 'parent_class': 'mat-mdc-form-field-infix'}
2025-06-26 18:28:38,362 - INFO - Found submit element: {'tag': 'button', 'id': '', 'class': 'mdc-button mat-mdc-button mat-unthemed mat-mdc-button-base', 'name': '', 'matinput': '', 'placeholder': '', 'type': 'submit', 'formcontrolname': '', 'parent_tag': 'mat-nav-list', 'parent_class': 'mat-mdc-nav-list mat-mdc-list-base mdc-list'}
2025-06-26 18:28:38,422 - INFO - Found submit element: {'tag': 'mat-icon', 'id': '', 'class': 'mat-icon notranslate material-icons mat-ligature-font mat-icon-no-color', 'name': '', 'matinput': '', 'placeholder': '', 'type': '', 'formcontrolname': '', 'parent_tag': 'span', 'parent_class': 'mat-mdc-list-item-unscoped-content mdc-list-item__primary-text'}
2025-06-26 18:28:38,490 - INFO - Found submit element: {'tag': 'mat-icon', 'id': '', 'class': 'mat-icon notranslate material-icons mat-ligature-font mat-icon-no-color', 'name': '', 'matinput': '', 'placeholder': '', 'type': '', 'formcontrolname': '', 'parent_tag': 'span', 'parent_class': 'mat-mdc-list-item-unscoped-content mdc-list-item__primary-text'}
2025-06-26 18:28:38,581 - INFO - Found submit element: {'tag': 'mat-icon', 'id': '', 'class': 'mat-icon notranslate material-icons mat-ligature-font mat-icon-no-color', 'name': '', 'matinput': '', 'placeholder': '', 'type': '', 'formcontrolname': '', 'parent_tag': 'span', 'parent_class': 'mat-mdc-list-item-unscoped-content mdc-list-item__primary-text'}
2025-06-26 18:28:38,641 - INFO - Found submit element: {'tag': 'mat-icon', 'id': '', 'class': 'mat-icon notranslate material-icons mat-ligature-font mat-icon-no-color', 'name': '', 'matinput': '', 'placeholder': '', 'type': '', 'formcontrolname': '', 'parent_tag': 'span', 'parent_class': 'mat-mdc-list-item-unscoped-content mdc-list-item__primary-text'}
2025-06-26 18:28:38,700 - INFO - Found submit element: {'tag': 'mat-icon', 'id': '', 'class': 'mat-icon notranslate material-icons mat-ligature-font mat-icon-no-color', 'name': '', 'matinput': '', 'placeholder': '', 'type': '', 'formcontrolname': '', 'parent_tag': 'span', 'parent_class': 'mat-mdc-list-item-unscoped-content mdc-list-item__primary-text'}
2025-06-26 18:28:38,755 - INFO - Found submit element: {'tag': 'button', 'id': '', 'class': 'mat-mdc-tooltip-trigger mdc-icon-button mat-mdc-icon-button mat-unthemed mat-mdc-button-base', 'name': '', 'matinput': '', 'placeholder': '', 'type': 'submit', 'formcontrolname': '', 'parent_tag': 'mat-toolbar-row', 'parent_class': 'mat-toolbar-row'}
